Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes
Protéine fluorescente avec lecture ODMR,A,Cellules HeLa (in_cellulo),ODMR,2.87 GHz,0.005,Electron,,,,0.8,12.0,295,,DOI:10.1038/s41586-024-08300-4 Fig.2c,,DOI:10.1038/s41586-024-08300-4 Fig.3a,0.2,,3.0,0,1,"Cytotoxicité faible, photoblanchiment modéré",1,ex_488nm; em_520nm; lifetime_3.2ns; QY_0.65,"Milieu cellulaire pH 7.4, laser 488 nm CW 100mW, micro-ondes 2.87 GHz, incubation 24h","Photoblanchiment modéré après 30 min, T2 court limite sensibilité, expression hétérogène",0,10.1038/s41586-024-08300-4,2025,3,verifie,Premier qubit protéique démontré en cellules vivantes (Univ. Chicago). Lecture ODMR de spin électronique dans chromophore protéique GFP modifiée. Révolution classe A. Contraste 12±3% mesuré.
Nanodiamants NV (50-100 nm) en cellules HeLa,B,Cellules HeLa (in_cellulo),ODMR,2.87 GHz,0.005,Electron,NV,,,1.2,15.0,295,50-100,DOI:10.1073/pnas.0912611107 Suppl.Fig.S3,,DOI:10.1073/pnas.0912611107 Fig.3b,0.3,,4.0,0,1,"Cytotoxicité faible <100 µg/mL, agrégation possible doses élevées",1,em_637-800nm; ZPL_637nm,"Internalisation endocytose 4h, laser 532 nm CW 10 mW, champ B 5 mT, DMEM+FBS","Agrégation lysosomale, cytotoxicité doses >500 µg/mL, T2 réduit 1000× vs bulk environnement",0,10.1073/pnas.0912611107,2010,3,verifie,Capteurs magnétiques et thermiques intra-cellulaires. T2 ~1.2±0.3 µs (vs 1-2 ms bulk) dû environnement biologique. Référence fondatrice classe B. Contraste 15±4%.
Nanodiamants NV (25 nm) en C. elegans,B,C. elegans (in_vivo),ODMR,2.87 GHz,0.005,Electron,NV,,,0.95,10.0,295,25,DOI:10.1038/nnano.2013.174 Fig.4c,,DOI:10.1038/nnano.2013.174 Fig.3d,0.25,,3.0,0,0,"Aucune toxicité détectée sur 7 jours, mobilité libre",1,em_637-800nm; ZPL_637nm,"Micro-injection neurones ASH, laser 532 nm pulsé, imagerie confocale, NGM agar 20°C","Distribution hétérogène organes, difficulté ciblage précis, mobilité nanoparticules tissus",1,10.1038/nnano.2013.174,2013,3,verifie,Première démo in vivo organisme multicellulaire. Suivi température ±0.5 K et champs B 1-100 µT dans neurones. Preuve de concept bio-compatibilité. T2=0.95±0.25 µs.
Défauts VSi dans SiC (nanoparticules 80 nm),B,Cellules HEK293 (in_cellulo),ODMR,1.35 GHz,0.002,Electron,VSi,4H-SiC; k-site,,1.5,8.0,295,80,DOI:10.1126/sciadv.aaw1874 Fig.3b,,DOI:10.1126/sciadv.aaw1874 Fig.2c,0.4,,2.0,0,1,"Cytotoxicité très faible <200 µg/mL, agrégation légère",1,,"Milieu aqueux pH 7.0, laser 730 nm NIR CW 5 mW, champ B 2 mT, DMEM","Contraste ODMR 8±2% (vs 30% NV), optimisation nécessaire, agrégation doses >200 µg/mL",0,10.1126/sciadv.aaw1874,2019,2,verifie,Alternative biocompatible NV. Longueur onde NIR 730 nm avantageuse pénétration tissulaire >1 mm. VSi = V_Si vacancy. Polytype 4H dominant. T2=1.5±0.4 µs.
Défauts VSi-SiC en tissu cardiaque ex vivo,B,Tissu cardiaque souris (ex_vivo),ODMR,1.35 GHz,0.002,Electron,VSi,4H-SiC,,1.1,6.0,310,80,DOI:10.1021/acsnano.1c05300 Fig.4a,,DOI:10.1021/acsnano.1c05300 Fig.3b,0.3,,2.0,0,0,Aucune toxicité ex vivo sur 6h perfusion,1,,"Perfusion saline Tyrode 37°C, laser 730 nm, imagerie multiphoton, battement maintenu","Diffusion lumière tissu, profondeur limitée 200 µm, signal faible nécessite moyennage 100 ms",0,10.1021/acsnano.1c05300,2021,2,verifie,Capteur champ magnétique tissu cardiaque battant. Détection potentiels action via champs B locaux 10-50 nT. Ex vivo = interface. T2=1.1±0.3 µs à 310 K.
Nanotubes de carbone avec défauts sp3,B,Solution tampon PBS (in_vitro),ESR,9.5 GHz (bande X),0.34,Electron,Defaut-sp3,,,2.3,5.0,295,d:1-2nm; L:100-500nm,DOI:10.1038/s41467-020-19390-3 Suppl.Table1,,DOI:10.1038/s41467-020-19390-3 Fig.2d,0.8,,2.0,0,0,"Biocompatibilité à confirmer, agrégation variable",0,,"Suspension aqueuse PBS pH 7.4, spectro bande X ESR, sonication 30 min, T ambiante","Stabilité long terme incertaine >24h, agrégation sans surfactant, T2 contexte cellulaire non mesuré",0,10.1038/s41467-020-19390-3,2020,2,a_confirmer,Défauts spin nanotubes fonctionnalisés COO-. Potentiel bio-imagerie ESR mais T2 et biocompatibilité cellules à valider. Classe B exploratoire. T2=2.3±0.8 µs in vitro.
Centres NV bulk (diamant macroscopique),B,Interface tissu neural (ex_vivo),ODMR,2.87 GHz,0.005,Electron,NV,,0.003,1800.0,30.0,295,Bulk (capteur µm),DOI:10.1038/ncomms2588 Fig.2b,DOI:10.1038/ncomms2588 Fig.3a,DOI:10.1038/ncomms2588 Fig.2c,200.0,0.0005,5.0,0,0,"Non internalisable, contact surface seulement",1,em_637-800nm; ZPL_637nm,"Contact surface tissu neural hippocampe, laser 532 nm CW, résolution spatiale 1 µm, perfusion","Non internalisable, limité surface/interface, invasif (contact mécanique), dérive thermique",0,10.1038/ncomms2588,2013,2,verifie,Détection potentiels action neuronaux via champ B 10-500 pT. Référence performances NV optimales T2=1800±200 µs bulk (vs ~1 µs nanodiamants). T1=3±0.5 ms. Contraste 30±5%.
Pyruvate ^13C hyperpolarisé (DNP),C,Souris/Humain (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,60.0,5000.0,,295,,DOI:10.1073/pnas.0606881103 Table1,DOI:10.1073/pnas.0606881103 Fig.4a,,1000.0,10.0,,1,0,"Aucune toxicité doses cliniques, FDA-approuvé",1,,"Injection IV bolus 0.1 mL/kg, polarisation DNP 1.4 K puis dissolution rapide <5s, RMN 3T, acquisition dynamique 1s","Relaxation T1=60±10s limite fenêtre observation, coût infrastructure DNP ~500k€, dose unique",1,10.1073/pnas.0606881103,2006,3,verifie,"Imagerie métabolique temps réel glycolyse. FDA-approuvé cancer prostate 2023. T1=60±10s critique. T2=5±1 ms. Gain signal >10,000×. Référence classe C hyperpolarisé."
Glucose ^13C hyperpolarisé,C,Rat (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,90.0,8000.0,,310,,DOI:10.1002/mrm.25951 Table2,DOI:10.1002/mrm.25951 Fig.3b,,2000.0,15.0,,1,0,"Aucune toxicité, métabolite naturel",1,,"Injection IV lente 0.2 mL/kg, polarisation DNP, imagerie métabolisme cérébral 3T, anesthésie isoflurane","Coût élevé DNP, T1=90±15s plus long que pyruvate mais signal conversion glycogène plus faible",1,10.1002/mrm.25951,2016,2,verifie,Suivi métabolisme cérébral glycogène. T1=90±15s (meilleur que pyruvate). T2=8±2 ms prolongé mais signal métabolique 5× plus faible.
Fumarate ^13C hyperpolarisé,C,Souris (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,100.0,12000.0,,295,,DOI:10.1073/pnas.0911447107 Fig.2a,DOI:10.1073/pnas.0911447107 Suppl.S1,,2500.0,20.0,,1,0,"Non toxique, biomarqueur apoptose",1,,"Injection IV 0.15 mL/kg, biomarqueur nécrose tumorale, réduction enzymatique en malate, 3T","Moins réactif métaboliquement que pyruvate, cinétique lente (pic 60-90s post-injection)",1,10.1073/pnas.0911447107,2009,2,verifie,"Détection mort cellulaire via réduction malate. T1=100±20s très long, T2=12±2.5 ms = fenêtre observation étendue 3-5 min. Application oncologie."
