system_id,protein_name,class,host_context,method,contrast_ratio,contrast_ci,temperature_K,t1_s,t2_us,frequency,b0_tesla,quality,verification_status,in_vivo_flag,source_release_tag,source_asset,source_sha256,published_at,is_real,contrast_source
[1-^13c] alpha-cétoglutarate hyperpolarisé,[1-^13C] Alpha-cétoglutarate hyperpolarisé,C,Rat cerveau (in_vivo),NMR,,,310,25.0,6000.0,128 MHz,3.0,3,verifie,1,v1.2.0,biological_qubits.csv,8d75d58dfbf8660fb853db1cd7ea122c3efb4ebf2150671942bb8fac3c650839,2025-10-22,1,unknown
[1-^13c] succinate hyperpolarisé,[1-^13C] Succinate hyperpolarisé,C,Souris coeur (in_vivo),NMR,,,310,35.0,9000.0,128 MHz,3.0,2,verifie,1,v1.2.0,biological_qubits.csv,8d75d58dfbf8660fb853db1cd7ea122c3efb4ebf2150671942bb8fac3c650839,2025-10-22,1,unknown
^15n-marqué pour dnp ultra-longue,^15N-marqué pour DNP ultra-longue,C,Solution aqueuse (in_vitro),NMR,,,295,900.0,600000.0,60 MHz,1.4,1,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
acétate [1-^13c] hyperpolarisé,Acétate [1-^13C] hyperpolarisé,C,Rat coeur (in_vivo),NMR,,,310,20.0,5000.0,128 MHz,3.0,2,verifie,1,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
alanine [1-^13c] hyperpolarisée,Alanine [1-^13C] hyperpolarisée,C,Rat foie (in_vivo),NMR,,,310,50.0,10000.0,128 MHz,3.0,2,verifie,1,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
bicarbonate h^13co3- hyperpolarisé,Bicarbonate H^13CO3- hyperpolarisé,C,Souris tumeurs (in_vivo),NMR,,,310,15.0,4000.0,128 MHz,3.0,3,verifie,1,v1.2.0,biological_qubits.csv,8d75d58dfbf8660fb853db1cd7ea122c3efb4ebf2150671942bb8fac3c650839,2025-10-22,1,unknown
centres gev dans diamant (bioconjugué),Centres GeV dans diamant (bioconjugué),B,Neurones primaires culture (in_vitro),ODMR,7.0,3.0,295,,2.1,1.47 GHz,0.002,2,a_confirmer,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
centres nv bulk (diamant macroscopique),Centres NV bulk (diamant macroscopique),B,Interface tissu neural (ex_vivo),ODMR,30.0,5.0,295,0.003,1800.0,2.87 GHz,0.005,2,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
centres p1 dans nanodiamants (azote isolé),Centres P1 dans nanodiamants (azote isolé),B,Cellules macrophages (in_cellulo),ESR,3.0,2.0,295,,1.8,9.5 GHz (bande X),0.34,2,a_confirmer,0,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,measured
centres siv dans diamant (nanoparticules 50 nm),Centres SiV dans diamant (nanoparticules 50 nm),B,Solution PBS (in_vitro),ODMR,5.0,2.0,4,1e-06,0.001,Variable (cryo 4K),0.0,1,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
cryptochrome (cry1) - paires radicalaires,Cryptochrome (Cry1) - paires radicalaires,D,Cellules rétiniennes oiseaux (in_vivo),Indirect,,,310,,0.001,Variable (champ B terre),5e-05,1,a_confirmer,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
défauts divacancy vv dans sic (nanoparticules),Défauts divacancy VV dans SiC (nanoparticules),B,Cellules HeLa (in_cellulo),ODMR,10.0,3.0,295,,3.2,1.10-1.35 GHz,0.002,2,a_confirmer,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
défauts ti:c dans sic (en développement),Défauts Ti:C dans SiC (en développement),B,In vitro (poudre SiC) (in_vitro),ODMR,3.0,1.0,295,,0.3,1.08 GHz,0.001,1,a_confirmer,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
défauts vsi dans sic (nanoparticules 80 nm),Défauts VSi dans SiC (nanoparticules 80 nm),B,Cellules HEK293 (in_cellulo),ODMR,8.0,2.0,295,,1.5,1.35 GHz,0.002,2,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
défauts vsi-sic en tissu cardiaque ex vivo,Défauts VSi-SiC en tissu cardiaque ex vivo,B,Tissu cardiaque souris (ex_vivo),ODMR,6.0,2.0,310,,1.1,1.35 GHz,0.002,2,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
fumarate ^13c hyperpolarisé,Fumarate ^13C hyperpolarisé,C,Souris (in_vivo),NMR,,,295,100.0,12000.0,128 MHz,3.0,2,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
glucose ^13c hyperpolarisé,Glucose ^13C hyperpolarisé,C,Rat (in_vivo),NMR,,,310,90.0,8000.0,128 MHz,3.0,2,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
lactate [1-^13c] hyperpolarisé,Lactate [1-^13C] hyperpolarisé,C,Souris tumeurs (in_vivo),NMR,,,310,30.0,7000.0,128 MHz,3.0,3,verifie,1,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
magnétosomes bactériens (magnetospirillum),Magnétosomes bactériens (Magnetospirillum),D,Bactéries magnétotactiques (in_vivo),Indirect,,,295,,,,5e-05,1,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
nanodiamants nv (25 nm) en c. elegans,Nanodiamants NV (25 nm) en C. elegans,B,C. elegans (in_vivo),ODMR,10.0,3.0,295,,0.95,2.87 GHz,0.005,3,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
nanodiamants nv (50-100 nm) en cellules hela,Nanodiamants NV (50-100 nm) en cellules HeLa,B,Cellules HeLa (in_cellulo),ODMR,15.0,4.0,295,,1.2,2.87 GHz,0.005,3,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
nanotubes de carbone avec défauts sp3,Nanotubes de carbone avec défauts sp3,B,Solution tampon PBS (in_vitro),ESR,5.0,2.0,295,,2.3,9.5 GHz (bande X),0.34,2,a_confirmer,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
nv ensembles en microcristaux (10 µm) injectés,NV ensembles en microcristaux (10 µm) injectés,B,Cerveau souris (in_vivo),ODMR,18.0,4.0,295,,1.5,2.87 GHz,0.005,3,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
nv nanodiamants (50 nm) en tumeurs solides,NV nanodiamants (50 nm) en tumeurs solides,B,Souris xénogreffe (in_vivo),ODMR,12.0,3.0,310,,0.85,2.87 GHz,0.005,3,verifie,1,v1.2.0,biological_qubits.csv,8d75d58dfbf8660fb853db1cd7ea122c3efb4ebf2150671942bb8fac3c650839,2025-10-22,1,measured
paires radicalaires fmo complex (cohérence quantique),Paires radicalaires FMO complex (cohérence quantique),D,Bactéries photosynthétiques (in_vivo),Indirect,,,77,,0.0006,Variable,0.0,3,a_confirmer,1,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
protéine fluorescente avec lecture odmr,Protéine fluorescente avec lecture ODMR,A,Cellules HeLa (in_cellulo),ODMR,12.0,3.0,295,,0.8,2.87 GHz,0.005,3,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
protéine lov2 modifiée (flavine),Protéine LOV2 modifiée (flavine),A,Lysat E. coli (in_vitro),ESR,2.0,1.0,295,,0.02,9.5 GHz (bande X),0.34,1,a_confirmer,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
pyruvate ^13c hyperpolarisé (dnp),Pyruvate ^13C hyperpolarisé (DNP),C,Souris/Humain (in_vivo),NMR,,,295,60.0,5000.0,128 MHz,3.0,3,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
quantum dots cdse avec lecture de spin,Quantum dots CdSe avec lecture de spin,B,Solution cryogénique (in_vitro),Optical-only,3.0,1.0,77,,0.05,Variable,5.0,1,verifie,0,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,measured
quantum dots inp/zns biocompatibles,Quantum dots InP/ZnS biocompatibles,B,Cellules HeLa (in_cellulo),Optical-only,,,295,,0.03,Variable,0.0,1,a_confirmer,0,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
radical tyrosyl dans cryptochrome (magnétoréception),Radical tyrosyl dans Cryptochrome (magnétoréception),D,Oiseaux migrateurs rétine (in_vivo),Indirect,,,295,,0.001,Variable (champ B terre),5e-05,2,a_confirmer,1,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,unknown
radicaux nitroxyde (tempo) en imagerie epr,Radicaux nitroxyde (TEMPO) en imagerie EPR,C,Souris (in_vivo),ESR,,,310,1e-06,0.5,250 MHz (L-band),0.009,2,verifie,1,main,biological_qubits.csv,58ef1154c240c91c259ab1b66685963f540ea6b07e8058ed0390b9d7909198cb,2025-10-23,1,unknown
radicaux tyrosyl dans ribonucléotide réductase,Radicaux tyrosyl dans ribonucléotide réductase,A,E. coli lysat (in_vitro),ESR,2.0,1.0,295,,0.015,9.5 GHz (bande X),0.34,1,a_confirmer,0,infra,biological_qubits.csv,4f14cf3074729f99f8844e4f1f949eac0085c2db2e191e5eb9fdcb9c7a4049c8,2025-01-01,1,measured
"urée [^13c,^15n2] hyperpolarisée","Urée [^13C,^15N2] hyperpolarisée",C,Rat/Souris (in_vivo),NMR,,,310,45.0,15000.0,128 MHz,3.0,3,verifie,1,v1.2.0,biological_qubits.csv,8d75d58dfbf8660fb853db1cd7ea122c3efb4ebf2150671942bb8fac3c650839,2025-10-22,1,unknown
