SystemID,protein_name,family,is_biosensor,temperature_K,pH,context,context_type,excitation_nm,emission_nm,stokes_shift_nm,spectral_region,target_contrast_log,contrast_normalized_raw,quality_tier,source,data_version,ingestion_date
FP_0001,ASAP2s,Voltage,1.0,310.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,0.8109302162163288,1.25,B,,v1.3.1,2025-10-25
FP_0002,ASAP3,Voltage,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,0.8415671856782186,1.32,B,voltage_preseed,v1.3.1,2025-10-25
FP_0004,ArcLight,Voltage,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,0.8544153281560676,1.35,B,voltage_preseed,v1.3.1,2025-10-25
FP_0006,Clover,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.8544153281560676,1.35,B,,v1.3.1,2025-10-25
FP_0007,DsRed2,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.5877866649021191,0.8,B,,v1.3.1,2025-10-25
FP_0008,ECFP,CFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.6418538861723948,0.9,B,,v1.3.1,2025-10-25
FP_0009,EGFP,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7884573603642702,1.2,B,,v1.3.1,2025-10-25
FP_0010,Epac-SH187,cAMP,1.0,298.0,7.4,in_cellulo(HEK293),in_cellulo,,,,unknown,1.33500106673234,2.8,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0011,FusionRed,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,2.0794415416798357,7.0,B,,v1.3.1,2025-10-25
FP_0012,GCaMP6f,Calcium,1.0,298.0,7.4,in_cellulo(HEK293),in_cellulo,,,,unknown,2.803360380906535,15.5,B,,v1.3.1,2025-10-25
FP_0014,GCaMP6s,Calcium,1.0,298.0,7.4,in_cellulo(HEK293),in_cellulo,,,,unknown,3.295836866004329,26.0,B,geci_db_preseed,v1.3.1,2025-10-25
FP_0018,GRAB-DA2h,Dopamine,1.0,310.0,7.4,in_cellulo(HEK293),in_cellulo,,,,unknown,1.824549292051046,5.2,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0019,GRAB-DA2m,Dopamine,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.5686159179138452,3.8,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0022,HyPer-7,H2O2,1.0,310.0,7.4,in_cellulo(HeLa),in_cellulo,,,,unknown,2.2512917986064953,8.5,B,,v1.3.1,2025-10-25
FP_0023,HyPer3,H2O2,1.0,298.0,7.4,in_cellulo(HeLa),in_cellulo,,,,unknown,1.8870696490323797,5.6,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0024,Katushka,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7178397931503169,1.05,B,,v1.3.1,2025-10-25
FP_0026,Perceval,ATP/ADP,1.0,310.0,7.4,in_cellulo(HeLa),in_cellulo,,,,unknown,1.0296194171811581,1.8,B,,v1.3.1,2025-10-25
FP_0027,PercevalHR,ATP/ADP,1.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,1.410986973710262,3.1,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0029,PinkFlamindo,cAMP,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.252762968495368,2.5,B,,v1.3.1,2025-10-25
FP_0031,R-GECO1,Calcium,1.0,298.0,7.4,in_cellulo(HeLa),in_cellulo,,,,unknown,2.379546134130174,9.8,B,geci_db_preseed,v1.3.1,2025-10-25
FP_0032,RCaMP1h,Calcium,1.0,298.0,7.4,in_cellulo(HEK),in_cellulo,,,,unknown,2.2192034840549946,8.2,B,geci_db_preseed,v1.3.1,2025-10-25
FP_0034,SF-iGluSnFR,Glutamate,1.0,310.0,7.4,in_vivo(hippocampus),in_vivo,,,,unknown,2.0541237336955462,6.8,B,,v1.3.1,2025-10-25
FP_0037,TagBFP2,BFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.6678293725756554,0.95,B,,v1.3.1,2025-10-25
FP_0038,TagRFP,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7654678421395714,1.15,B,,v1.3.1,2025-10-25
FP_0039,VSFP-Butterfly,Voltage,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,0.8241754429663494,1.28,B,voltage_preseed,v1.3.1,2025-10-25
FP_0042,dLight1.1,Dopamine,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.4586150226995167,3.3,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0043,dLight1.2,Dopamine,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.589235205116581,3.9,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0044,dLight1.3b,Dopamine,1.0,310.0,7.4,in_vivo(striatum),in_vivo,,,,unknown,1.6863989535702288,4.4,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0045,eqFP650,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.5596157879354227,0.75,B,,v1.3.1,2025-10-25
FP_0047,iGluSnFR,Glutamate,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.8718021769015913,5.5,B,neurotransmitter_preseed,v1.3.1,2025-10-25
FP_0048,iGluSnFR-A184S,Glutamate,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,2.1041341542702074,7.2,B,,v1.3.1,2025-10-25
FP_0049,iRFP670,NIR,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.6151856390902334,0.85,B,,v1.3.1,2025-10-25
FP_0051,jGCaMP7b,Calcium,1.0,310.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,3.58351893845611,35.0,B,,v1.3.1,2025-10-25
FP_0052,jGCaMP7f,Calcium,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,3.828641396489095,45.0,B,,v1.3.1,2025-10-25
FP_0053,jGCaMP7s,Calcium,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,3.9318256327243257,50.0,B,geci_db_preseed,v1.3.1,2025-10-25
FP_0054,jGCaMP8f,Calcium,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,4.3694478524670215,78.0,B,,v1.3.1,2025-10-25
FP_0056,jGCaMP8s,Calcium,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,4.51085950651685,90.0,B,geci_db_preseed,v1.3.1,2025-10-25
FP_0057,jRGECO1a,Calcium,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,2.6026896854443837,12.5,B,geci_db_preseed,v1.3.1,2025-10-25
