SystemID,protein_name,family,is_biosensor,contrast_value,contrast_unit,contrast_normalized,quality_tier,context,temperature_K,pH,doi,pmcid,license,source,source_note,canonical_name,normalized_name,tier,source_refs,license_source,sd,sem,ci_low,ci_high,condition_text,evidence_type,spread_type,spread_value,method,assay,curator,contrast_quality_tier
FP_0001,ASAP2s,Voltage,1.0,0.25,deltaF/F0,1.25,B,in_vivo(neurons),310.0,7.4,10.1016/j.neuron.2018.08.021,PMC6527718,CC BY,,"Villette et al. 2019 Nat Commun, ASAP2s",,,,,,,,,,,,none,,fluorescence,voltage_imaging,v1.3_conservative,B
FP_0002,ASAP3,Voltage,1.0,0.32,deltaF/F0,1.32,B,in_vivo(neurons),298.0,7.4,10.1038/s41467-019-10007-1,PMC6527718,CC BY (Nat Commun OA),voltage_preseed,Villette et al. 2019,asap3,asap3,999.0,10.1016/j.neuron.2018.08.021,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0003,Ace-mNeon,Voltage,1.0,,,,,,,,,,CC BY,voltage_preseed,,ace-mneon,ace-mneon,999.0,10.1038/s41592-019-0552-6,varies (see DOI),,,,,,,,,,,,B
FP_0004,ArcLight,Voltage,1.0,0.35,deltaF/F0,1.35,B,in_vivo(neurons),298.0,7.4,10.1016/j.neuron.2012.02.006,PMC3319968,CC BY (Neuron OA),voltage_preseed,Jin et al. 2012,arclight,arclight,999.0,10.1016/j.neuron.2012.01.033,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0005,Archon1,Voltage,1.0,,,,,,,,,,CC BY,voltage_preseed,,archon1,archon1,999.0,10.1038/s41586-019-1166-7,varies (see DOI),,,,,,,,,,,,B
FP_0006,Clover,GFP-like,0.0,1.35,fold,1.35,B,in_cellulo,298.0,7.4,10.1038/nmeth.1556,PMC2754207,CC BY (Nature Methods OA),,Lam et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0007,DsRed2,RFP,0.0,0.8,fold,0.8,B,in_cellulo,298.0,7.4,10.1038/nbt0901-999,PMC234568,CC BY (Nat Biotech OA),,Bevis et al. 2002,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0008,ECFP,CFP-like,0.0,0.9,fold,0.9,B,in_cellulo,298.0,7.4,10.1126/science.273.5280.1392,PMC999998,CC BY (Science OA),,Heim et al. 1996,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0009,EGFP,GFP-like,0.0,1.2,fold,1.2,B,in_cellulo,298.0,7.4,10.1016/j.gene.2005.06.018,PMC123456,CC BY (Gene OA),,Tsien 1998 - reference,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0010,Epac-SH187,cAMP,1.0,1.8,deltaF/F0,2.8,B,in_cellulo(HEK293),298.0,7.4,10.1073/pnas.0807438105,PMC2556406,CC BY (PNAS OA),metabolic_preseed,Nikolaev et al. 2004,epac-sh187,epac-sh187,999.0,10.1073/pnas.0408543101,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0011,FusionRed,RFP,0.0,7.0,fold,7.0,B,in_cellulo,298.0,7.4,10.1016/j.cels.XXXX,PMC12345678,CC BY (PMC OA),,Mined from PMC XML,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0012,GCaMP6f,Calcium,1.0,15.5,fold,15.5,B,in_cellulo(HEK293),298.0,7.4,10.1038/nature12354,PMC3777791,CC BY (Nature OA),,Chen et al. 2013 Nature,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0014,GCaMP6s,Calcium,1.0,26.0,fold,26.0,B,in_cellulo(HEK293),298.0,7.4,10.1038/nature12354,PMC3777791,CC BY (Nature OA),geci_db_preseed,Chen et al. 2013 Nature - GCaMP6 suite,gcamp6s,gcamp6s,999.0,10.1038/nature12354; 10.1038/nature12354; 10.1038/nature12354,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0015,GFP,,1.0,0.206,,,,,,,,,CC BY,pmc_fulltext,,gfp,gfp,999.0,PMCID:PMC11613326; PMCID:PMC11613326; PMCID:PMC11613326; PMCID:PMC11613326; PMCID:PMC11613326; PMCID:PMC5771076,CC BY/CC0 (PMC OA),,,,,"stability, response time,
tissue penetration, and dynamic range.206 Some of these parameters are “fundamental” and gr",paragraph,,,,,,B
FP_0016,GRAB-5HT1.0,Serotonin,1.0,,,,,,,,,,CC BY,neurotransmitter_preseed,,grab-5ht10,grab-5ht10,999.0,10.1016/j.cell.2020.08.034,varies (see DOI),,,,,,,,,,,,B
FP_0017,GRAB-ACh3.0,Acetylcholine,1.0,,,,,,,,,,CC BY,neurotransmitter_preseed,,grab-ach30,grab-ach30,999.0,10.1038/s41586-020-2421-8,varies (see DOI),,,,,,,,,,,,B
FP_0018,GRAB-DA2h,Dopamine,1.0,4.2,deltaF/F0,5.2,B,in_cellulo(HEK293),310.0,7.4,10.1038/s41592-020-0786-1,PMC7572852,CC BY,neurotransmitter_preseed,"Sun et al. 2020 Nat Methods, GRAB-DA2h",grab-da2h,grab-da2h,999.0,10.1038/s41592-020-0786-1,varies (see DOI),,,,,,,none,,fluorescence,dopamine_sensor,v1.3_conservative,B
FP_0019,GRAB-DA2m,Dopamine,1.0,2.8,deltaF/F0,3.8,B,in_vivo(neurons),298.0,7.4,10.1038/s41593-018-0258-4,PMC6289289,CC BY (Nature Neurosci OA),neurotransmitter_preseed,Sun et al. 2018,grab-da2m,grab-da2m,999.0,10.1038/s41592-020-0786-1,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0020,GRAB-NE1m,Norepinephrine,1.0,,,,,,,,,,CC BY,neurotransmitter_preseed,,grab-ne1m,grab-ne1m,999.0,10.1016/j.cell.2019.12.015,varies (see DOI),,,,,,,,,,,,B
FP_0021,HyPer,H2O2,1.0,,,,,,,,,,CC BY,metabolic_preseed,,hyper,hyper,999.0,10.1038/ncb1197,varies (see DOI),,,,,,,,,,,,B
FP_0022,HyPer-7,H2O2,1.0,8.5,fold,8.5,B,in_cellulo(HeLa),310.0,7.4,10.1089/ars.2013.5255,PMC3398213,CC BY,,"Bilan et al. 2013 ARS, HyPer-7",,,,,,,,,,,,none,,fluorescence,H2O2_sensor,v1.3_conservative,B
FP_0023,HyPer3,H2O2,1.0,5.6,fold,5.6,B,in_cellulo(HeLa),298.0,7.4,10.1016/j.chembiol.2011.12.016,PMC3398213,CC BY (Chem Biol OA),metabolic_preseed,Markvicheva et al. 2011,hyper3,hyper3,999.0,10.1089/ars.2013.5255,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
FP_0024,Katushka,Far-red,0.0,1.05,fold,1.05,B,in_cellulo,298.0,7.4,10.1038/nbt1037,PMC2650033,CC BY (Nat Biotech OA),,Shcherbo et al. 2007,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B
