canonical_name,family,y_pred,PI90_width,fold
NADPH/NADP+_205,NADPH/NADP+,4.820609318354852,36.56776114241987,5
Calcium_33,Calcium,4.56419532905106,2.521235990817694,1
cAMP_104,cAMP,4.495047446620862,16.000000000000014,3
ATP_133,ATP,4.495047446620862,16.000000000000014,3
Calcium_14,Calcium,4.4723369415247936,2.521235990817695,1
Calcium_20,Calcium,4.4723369415247936,2.521235990817695,1
Calcium_48,Calcium,4.4723369415247936,2.521235990817695,1
NADH/NAD+_78,NADH/NAD+,4.471744048306857,31.09024682724511,2
Calcium_32,Calcium,4.460210762709108,2.521235990817694,1
Redox_121,Redox,4.442828645159977,16.000000000000014,3
Redox_135,Redox,4.442828645159977,16.000000000000014,3
Calcium_26,Calcium,4.352093508544347,2.521235990817695,1
ATP_114,ATP,4.216047696451403,16.000000000000014,3
Orange_123,Orange,4.188639874476948,16.000000000000014,3
GABA_111,GABA,4.168861380937801,16.000000000000014,3
GABA_117,GABA,4.168861380937801,16.000000000000014,3
H2O2_163,H2O2,4.094091621224716,42.58351870846599,4
pH_177,pH,4.094091621224716,42.58351870846599,4
H2O2_178,H2O2,4.094091621224716,42.58351870846599,4
cAMP_94,cAMP,4.059115422249998,16.000000000000014,3
