well,row,col,canonical_name,family,replicate,type
A1,A,1,ATP_133,ATP,1,candidate
A2,A,2,ATP_133,ATP,2,candidate
A3,A,3,ATP_114,ATP,1,candidate
A4,A,4,ATP_114,ATP,2,candidate
A5,A,5,Calcium_33,Calcium,1,candidate
A6,A,6,Calcium_33,Calcium,2,candidate
B1,B,1,Calcium_14,Calcium,1,candidate
B2,B,2,Calcium_14,Calcium,2,candidate
B3,B,3,Calcium_20,Calcium,1,candidate
B4,B,4,Calcium_20,Calcium,2,candidate
B5,B,5,GABA_111,GABA,1,candidate
B6,B,6,GABA_111,GABA,2,candidate
C1,C,1,NADH/NAD+_78,NADH/NAD+,1,candidate
C2,C,2,NADH/NAD+_78,NADH/NAD+,2,candidate
C3,C,3,NADPH/NADP+_205,NADPH/NADP+,1,candidate
C4,C,4,NADPH/NADP+_205,NADPH/NADP+,2,candidate
C5,C,5,Orange_123,Orange,1,candidate
C6,C,6,Orange_123,Orange,2,candidate
D1,D,1,Redox_121,Redox,1,candidate
D2,D,2,Redox_121,Redox,2,candidate
D3,D,3,Redox_135,Redox,1,candidate
D4,D,4,Redox_135,Redox,2,candidate
D5,D,5,cAMP_104,cAMP,1,candidate
D6,D,6,cAMP_104,cAMP,2,candidate
